date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:52	73/73	---M-Z	200	added ('OK')	text/plain	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/robots.txt		(from )
15:26:52	36243/36243	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/index.html	(from )
15:26:53	3164/3164	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/favicon.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/favicon.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:53	117150/117150	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:54	69731/69731	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/animate.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/animate.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:54	20766/20766	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:54	3263/3263	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/slick.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/slick.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:54	50354/50354	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:55	27142/27142	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/styles.css	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/styles.css	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:55	28463/28463	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/modernizr.custom.32033.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/modernizr.custom.32033.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:55	8520/8520	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/logo.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/logo.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:56	7935/7935	---MCZ	200	added ('OK')	application/javascript	etag:W/%221eff-5402c1d1389af%22	http://cdn.carbonads.com/carbon.js?zoneid=1673&serve=C6AILKT&placement=scoopthemes	C:/Users/Wellington/Desktop/bankbox1/BankBox/cdn.carbonads.com/carbon86c4.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:56	36243/36243	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/index.html	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/index-2.html	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:26:56	191/191	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/transparent.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/transparent.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:11	95902/95902	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/iphone-freeze.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/iphone-freeze.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Dec%202016%2017:27:09%20GMT	http://api.randomuser.me/portraits/women/94.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/api.randomuser.me/portraits/women/94.10.delayed	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
